18291 18000
4
1
2
3
4
189
Syuzanna Grigoryan
ARM
35
3 8482 22
1 12334 0
1 12426 11
1 13735 0
1 13948 11
1 14155 34
1 14385 11
1 14798 63
4 15678 0
4 15727 0
4 16022 0
4 16179 0
4 16411 0
4 16798 0
4 16830 0
4 16930 10
3 17817 22
2 17974 0
Yara Osama Hassan
EGY
21
2 7560 71
2 7136 22
2 6962 22
1 5758 63
1 5360 40
1 5124 40
1 5050 0
1 3657 29
1 10617 40
1 10853 29
3 11470 22
3 13015 22
3 13085 22
3 13231 22
3 13629 41
1 15592 40
1 15766 40
1 16363 0
4 17411 0
4 17460 0
4 17627 0
Agnes Tennisberg
EST
20
1 7815 0
1 7670 29
1 5216 63
1 5032 40
1 3838 40
1 3638 29
2 13245 6
2 13771 6
2 14132 6
2 14634 6
2 14922 6
2 15013 6
2 15105 6
2 15158 6
2 15216 6
2 15260 6
2 15870 0
2 16452 0
2 16581 0
2 17784 0
Annika Märtin
EST
8
1 7045 0
2 3182 6
2 2969 0
1 13657 11
1 15631 23
1 15808 0
1 16015 0
1 16311 34
Aino Aulanko
FIN
44
3 7506 12
3 7455 0
2 5560 0
2 5476 0
2 5441 0
2 5198 0
1 4424 11
1 4387 0
1 967 11
1 10294 0
1 11398 0
1 11490 11
1 12020 0
1 12153 0
1 12200 11
1 12233 0
1 12371 11
1 12486 11
2 12626 0
2 12727 0
1 12845 11
2 12892 0
1 14258 0
1 14344 0
1 14419 0
1 14524 0
1 14877 0
2 14959 0
1 15019 0
1 15121 0
1 15194 0
1 15391 0
1 15445 0
1 15493 0
1 15584 0
1 15656 0
1 15755 0
1 15803 100
2 16366 6
2 17089 6
2 17197 0
2 17248 0
2 17321 6
2 17796 6
Emma Suomalainen
FIN
20
2 6761 25
2 6701 6
2 6551 6
2 5552 6
1 4734 40
1 3653 40
1 8114 63
3 9895 0
3 10232 12
3 11513 22
3 13000 22
3 13155 22
3 13813 41
4 14982 0
4 15237 0
4 15632 0
4 15995 0
4 16447 0
4 16703 10
1 17478 23
Minea Tiitinen
FIN
8
1 6790 100
1 6325 11
1 4838 0
2 11004 22
3 14454 22
4 16936 0
4 17466 0
4 17687 10
Alizée Marquardt
FRA
13
2 7725 25
2 7027 6
1 5733 63
1 4778 34
1 4687 0
3 9947 0
3 10053 12
3 10762 22
4 12667 10
1 16507 11
3 17556 22
3 17635 22
3 17845 22
Clémence Chitry
FRA
24
2 5608 25
2 5117 19
1 3920 63
1 3527 11
1 1971 34
1 669 11
2 9403 25
2 9928 25
2 10699 25
2 10770 25
2 10801 25
2 10831 25
2 11448 25
2 11648 25
2 11686 25
2 11764 25
2 11824 25
2 12059 25
2 12108 25
2 12291 25
3 12789 12
3 13147 22
3 16949 22
3 17535 22
Clémence Pham
FRA
32
2 7546 0
2 7111 0
1 4563 11
1 3935 11
1 3570 11
1 9297 40
1 9601 40
2 10376 0
2 10418 0
2 10449 0
2 10554 0
2 10777 0
2 10816 0
2 10854 0
2 10893 6
2 11324 6
2 11970 6
3 12941 0
3 13273 12
3 13452 12
3 15289 12
3 15474 0
3 15702 22
3 15893 0
2 16230 6
2 16320 6
3 16444 0
1 16738 63
2 16977 6
3 17064 22
2 17431 6
2 17988 0
Inès Fischler
FRA
18
2 7429 22
2 8346 22
2 8752 22
2 8898 0
2 9046 22
2 9134 22
2 9492 22
2 9577 22
2 9631 22
2 9749 22
2 10150 22
2 11066 22
1 14116 11
1 14620 0
1 14867 23
1 14956 34
1 17792 40
1 17916 63
Ketevan Tsimakuridze
GEO
25
4 7540 10
3 6627 100
3 5987 71
3 5700 36
3 5405 17
3 5192 17
3 5046 17
3 4824 17
2 2289 100
1 1467 100
4 8051 0
4 8173 0
4 8268 0
4 8357 0
4 8495 0
4 8604 10
4 8680 29
4 10882 0
4 10963 0
4 12092 0
4 12179 0
4 12290 64
4 12416 65
4 13062 0
4 13157 76
Teo Kakabadze
GEO
13
1 2521 100
3 8181 19
3 8361 31
3 8593 31
3 8803 41
3 12710 41
3 12782 41
3 13029 41
3 13289 41
4 14023 0
4 14150 10
2 17513 0
